authors,decision,forum_link,paper_id,pdf_link,title
"Jonathon Cai, Richard Shin, Dawn Song",Accept (Oral),https://openreview.net/forum?id=BkbY4psgg&noteId=BkbY4psgg,BkbY4psgg,https://openreview.net/pdf?id=BkbY4psgg,Making Neural Programming Architectures Generalize via Recursion
"Johannes Ballé, Valero Laparra, Eero P. Simoncelli",Accept (Oral),https://openreview.net/forum?id=rJxdQ3jeg&noteId=rJxdQ3jeg,rJxdQ3jeg,https://openreview.net/pdf?id=rJxdQ3jeg,End-to-end Optimized Image Compression
"Sachin Ravi, Hugo Larochelle",Accept (Oral),https://openreview.net/forum?id=rJY0-Kcll&noteId=rJY0-Kcll,rJY0-Kcll,https://openreview.net/pdf?id=rJY0-Kcll,Optimization as a Model for Few-Shot Learning
"Antoine Bordes, Y-Lan Boureau, Jason Weston",Accept (Oral),https://openreview.net/forum?id=S1Bb3D5gg&noteId=S1Bb3D5gg,S1Bb3D5gg,https://openreview.net/pdf?id=S1Bb3D5gg,Learning End-to-End Goal-Oriented Dialog
"Martin Arjovsky, Leon Bottou",Accept (Oral),https://openreview.net/forum?id=Hk4_qw5xe&noteId=Hk4_qw5xe,Hk4_qw5xe,https://openreview.net/pdf?id=Hk4_qw5xe,Towards Principled Methods for Training Generative Adversarial Networks
"Max Jaderberg, Volodymyr Mnih, Wojciech Marian Czarnecki, Tom Schaul, Joel Z Leibo, David Silver, Koray Kavukcuoglu",Accept (Oral),https://openreview.net/forum?id=SJ6yPD5xg&noteId=SJ6yPD5xg,SJ6yPD5xg,https://openreview.net/pdf?id=SJ6yPD5xg,Reinforcement Learning with Unsupervised Auxiliary Tasks
"Angeliki Lazaridou, Alexander Peysakhovich, Marco Baroni",Accept (Oral),https://openreview.net/forum?id=Hk8N3Sclg&noteId=Hk8N3Sclg,Hk8N3Sclg,https://openreview.net/pdf?id=Hk8N3Sclg,Multi-Agent Cooperation and the Emergence of (Natural) Language
"Chiyuan Zhang, Samy Bengio, Moritz Hardt, Benjamin Recht, Oriol Vinyals",Accept (Oral),https://openreview.net/forum?id=Sy8gdB9xx&noteId=Sy8gdB9xx,Sy8gdB9xx,https://openreview.net/pdf?id=Sy8gdB9xx,Understanding deep learning requires rethinking generalization
"Barret Zoph, Quoc Le",Accept (Oral),https://openreview.net/forum?id=r1Ue8Hcxg&noteId=r1Ue8Hcxg,r1Ue8Hcxg,https://openreview.net/pdf?id=r1Ue8Hcxg,Neural Architecture Search with Reinforcement Learning
"Shixiang Gu, Timothy Lillicrap, Zoubin Ghahramani, Richard E. Turner, Sergey Levine",Accept (Oral),https://openreview.net/forum?id=SJ3rcZcxl&noteId=SJ3rcZcxl,SJ3rcZcxl,https://openreview.net/pdf?id=SJ3rcZcxl,Q-Prop: Sample-Efficient Policy Gradient with An Off-Policy Critic
"Alexey Dosovitskiy, Vladlen Koltun",Accept (Oral),https://openreview.net/forum?id=rJLS7qKel&noteId=rJLS7qKel,rJLS7qKel,https://openreview.net/pdf?id=rJLS7qKel,Learning to Act by Predicting the Future
"Nitish Shirish Keskar, Dheevatsa Mudigere, Jorge Nocedal, Mikhail Smelyanskiy, Ping Tak Peter Tang",Accept (Oral),https://openreview.net/forum?id=H1oyRlYgg&noteId=H1oyRlYgg,H1oyRlYgg,https://openreview.net/pdf?id=H1oyRlYgg,On Large-Batch Training for Deep Learning: Generalization Gap and Sharp Minima
"Nicolas Papernot, Martín Abadi, Úlfar Erlingsson, Ian Goodfellow, Kunal Talwar",Accept (Oral),https://openreview.net/forum?id=HkwoSDPgg&noteId=HkwoSDPgg,HkwoSDPgg,https://openreview.net/pdf?id=HkwoSDPgg,Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data
"Casper Kaae Sønderby, Jose Caballero, Lucas Theis, Wenzhe Shi, Ferenc Huszár",Accept (Oral),https://openreview.net/forum?id=S1RP6GLle&noteId=S1RP6GLle,S1RP6GLle,https://openreview.net/pdf?id=S1RP6GLle,Amortised MAP Inference for Image Super-resolution
Daniel D. Johnson,Accept (Oral),https://openreview.net/forum?id=HJ0NvFzxl&noteId=HJ0NvFzxl,HJ0NvFzxl,https://openreview.net/pdf?id=HJ0NvFzxl,Learning Graphical State Transitions
"Sergey Zagoruyko, Nikos Komodakis",Accept (Poster),https://openreview.net/forum?id=Sks9_ajex&noteId=Sks9_ajex,Sks9_ajex,https://openreview.net/pdf?id=Sks9_ajex,Paying More Attention to Attention: Improving the Performance of Convolutional Neural Networks via Attention Transfer
