abstract,authorids,authors,conflicts,keywords,paper_id,paperhash,title,tl;dr,decision,forum_link,pdf_link
"Empirically, neural networks that attempt to learn programs from data have exhibited poor generalizability. Moreover, it has traditionally been difficult to reason about the behavior of these models beyond a certain level of input complexity. In order to address these issues, we propose augmenting neural architectures with a key abstraction: recursion. As an application, we implement recursion in the Neural Programmer-Interpreter framework on four tasks: grade-school addition, bubble sort, topological sort, and quicksort. We demonstrate superior generalizability and interpretability with small amounts of training data. Recursion divides the problem into smaller pieces and drastically reduces the domain of each neural network component, making it tractable to prove guarantees about the overall system’s behavior. Our experience suggests that in order for neural architectures to robustly learn program semantics, it is necessary to incorporate a concept like recursion.","jonathon@cs.berkeley.edu, ricshin@cs.berkeley.edu, dawnsong@cs.berkeley.edu","Jonathon Cai, Richard Shin, Dawn Song",berkeley.edu,Deep learning,BkbY4psgg,cai|making_neural_programming_architectures_generalize_via_recursion,Making Neural Programming Architectures Generalize via Recursion,,Accept (Oral),https://openreview.net/forum?id=BkbY4psgg&noteId=BkbY4psgg,https://openreview.net/pdf?id=BkbY4psgg
"We describe an image compression method, consisting of a nonlinear analysis transformation, a uniform quantizer, and a nonlinear synthesis transformation. The transforms are constructed in three successive stages of convolutional linear filters and nonlinear activation functions. Unlike most convolutional neural networks, the joint nonlinearity is chosen to implement a form of local gain control, inspired by those used to model biological neurons. Using a variant of stochastic gradient descent, we jointly optimize the entire model for rate-distortion performance over a database of training images, introducing a continuous proxy for the discontinuous loss function arising from the quantizer. Under certain conditions, the relaxed loss function may be interpreted as the log likelihood of a generative model, as implemented by a variational autoencoder. Unlike these models, however, the compression model must operate at any given point along the rate-distortion curve, as specified by a trade-off parameter. Across an independent set of test images, we find that the optimized method generally exhibits better rate-distortion performance than the standard JPEG and JPEG 2000 compression methods. More importantly, we observe a dramatic improvement in visual quality for all images at all bit rates, which is supported by objective quality estimates using MS-SSIM.","johannes.balle@nyu.edu, valero.laparra@uv.es, eero.simoncelli@nyu.edu","Johannes Ballé, Valero Laparra, Eero P. Simoncelli","nyu.edu, rwth-aachen.de, uv.es",,rJxdQ3jeg,ballé|endtoend_optimized_image_compression,End-to-end Optimized Image Compression,,Accept (Oral),https://openreview.net/forum?id=rJxdQ3jeg&noteId=rJxdQ3jeg,https://openreview.net/pdf?id=rJxdQ3jeg
"Though deep neural networks have shown great success in the large data domain, they generally perform poorly on few-shot learning tasks, where a model has to quickly generalize after seeing very few examples from each class. The general belief is that gradient-based optimization in high capacity models requires many iterative steps over many examples to perform well. Here, we propose an LSTM-based meta-learner model to learn the exact optimization algorithm used to train another learner neural network in the few-shot regime. The parametrization of our model allows it to learn appropriate parameter updates specifically for the scenario where a set amount of updates will be made, while also learning a general initialization of the learner network that allows for quick convergence of training. We demonstrate that this meta-learning model is competitive with deep metric-learning techniques for few-shot learning.","sachinr@twitter.com, hugo@twitter.com, sachinr@princeton.edu","Sachin Ravi, Hugo Larochelle","princeton.edu, twitter.com, umontreal.ca, google.com",,rJY0-Kcll,ravi|optimization_as_a_model_for_fewshot_learning,Optimization as a Model for Few-Shot Learning,We propose an LSTM-based meta-learner model to learn the exact optimization algorithm used to train another learner neural network in the few-shot regime,Accept (Oral),https://openreview.net/forum?id=rJY0-Kcll&noteId=rJY0-Kcll,https://openreview.net/pdf?id=rJY0-Kcll
"Traditional dialog systems used in goal-oriented applications require a lot of domain-specific handcrafting, which hinders scaling up to new domains. End- to-end dialog systems, in which all components are trained from the dialogs themselves, escape this limitation. But the encouraging success recently obtained in chit-chat dialog may not carry over to goal-oriented settings. This paper proposes a testbed to break down the strengths and shortcomings of end-to-end dialog systems in goal-oriented applications. Set in the context of restaurant reservation, our tasks require manipulating sentences and symbols, so as to properly conduct conversations, issue API calls and use the outputs of such calls. We show that an end-to-end dialog system based on Memory Networks can reach promising, yet imperfect, performance and learn to perform non-trivial operations. We confirm those results by comparing our system to a hand-crafted slot-filling baseline on data from the second Dialog State Tracking Challenge (Henderson et al., 2014a). We show similar result patterns on data extracted from an online concierge service.","abordes@fb.com, ylan@fb.com, jase@fb.com","Antoine Bordes, Y-Lan Boureau, Jason Weston","google.com, cnrs.com",,S1Bb3D5gg,bordes|learning_endtoend_goaloriented_dialog,Learning End-to-End Goal-Oriented Dialog,A new open dataset and testbed for training and evaluating end-to-end dialog systems in goal-oriented scenarios.,Accept (Oral),https://openreview.net/forum?id=S1Bb3D5gg&noteId=S1Bb3D5gg,https://openreview.net/pdf?id=S1Bb3D5gg
"The goal of this paper is not to introduce a single algorithm or method, but to make theoretical steps towards fully understanding the training dynamics of gen- erative adversarial networks. In order to substantiate our theoretical analysis, we perform targeted experiments to verify our assumptions, illustrate our claims, and quantify the phenomena. This paper is divided into three sections. The first sec- tion introduces the problem at hand. The second section is dedicated to studying and proving rigorously the problems including instability and saturation that arize when training generative adversarial networks. The third section examines a prac- tical and theoretically grounded direction towards solving these problems, while introducing new tools to study them.","martinarjovsky@gmail.com, leonb@fb.com","Martin Arjovsky, Leon Bottou","nyu.edu, fb.com, umontreal.edu",,Hk4_qw5xe,arjovsky|towards_principled_methods_for_training_generative_adversarial_networks,Towards Principled Methods for Training Generative Adversarial Networks,We introduce a theory about generative adversarial networks and their issues.,Accept (Oral),https://openreview.net/forum?id=Hk4_qw5xe&noteId=Hk4_qw5xe,https://openreview.net/pdf?id=Hk4_qw5xe
"Deep reinforcement learning agents have achieved state-of-the-art results by directly maximising cumulative reward. However, environments contain a much wider variety of possible training signals. In this paper, we introduce an agent that also maximises many other pseudo-reward functions simultaneously by reinforcement learning. All of these tasks share a common representation that, like unsupervised learning, continues to develop in the absence of extrinsic rewards. We also introduce a novel mechanism for focusing this representation upon extrinsic rewards, so that learning can rapidly adapt to the most relevant aspects of the actual task. Our agent significantly outperforms the previous state-of-the-art on Atari, averaging 880\% expert human performance, and a challenging suite of first-person, three-dimensional \emph{Labyrinth} tasks leading to a mean speedup in learning of 10$\times$ and averaging 87\% expert human performance on Labyrinth.","jaderberg@google.com, vmnih@google.com, lejlot@google.com, schaul@google.com, jzl@google.com, davidsilver@google.com, korayk@google.com","Max Jaderberg, Volodymyr Mnih, Wojciech Marian Czarnecki, Tom Schaul, Joel Z Leibo, David Silver, Koray Kavukcuoglu","google.com, ox.ac.uk, ucl.ac.uk",,SJ6yPD5xg,jaderberg|reinforcement_learning_with_unsupervised_auxiliary_tasks,Reinforcement Learning with Unsupervised Auxiliary Tasks,,Accept (Oral),https://openreview.net/forum?id=SJ6yPD5xg&noteId=SJ6yPD5xg,https://openreview.net/pdf?id=SJ6yPD5xg
"The current mainstream approach to train natural language systems is to expose them to large amounts of text. This passive learning is problematic if we are in- terested in developing interactive machines, such as conversational agents. We propose a framework for language learning that relies on multi-agent communi- cation. We study this learning in the context of referential games. In these games, a sender and a receiver see a pair of images. The sender is told one of them is the target and is allowed to send a message to the receiver, while the receiver must rely on it to identify the target. Thus, the agents develop their own language interactively out of the need to communicate. We show that two networks with simple configurations are able to learn to coordinate in the referential game. We further explore whether the “word meanings” induced in the game reflect intuitive semantic properties of the objects depicted in the image, and we present a simple strategy for grounding the agents’ code into natural language, a necessary step in developing machines that should eventually be able to communicate with humans.","angeliki.lazaridou@unitn.it, alexpeys@fb.com, marco.baroni@unitn.it","Angeliki Lazaridou, Alexander Peysakhovich, Marco Baroni","unitn.it, fb.com","Natural language processing, Reinforcement Learning, Games",Hk8N3Sclg,lazaridou|multiagent_cooperation_and_the_emergence_of_natural_language,Multi-Agent Cooperation and the Emergence of (Natural) Language,,Accept (Oral),https://openreview.net/forum?id=Hk8N3Sclg&noteId=Hk8N3Sclg,https://openreview.net/pdf?id=Hk8N3Sclg
"Despite their massive size, successful deep artificial neural networks can
exhibit a remarkably small difference between training and test performance.
Conventional wisdom attributes small generalization error either to properties
of the model family, or to the regularization techniques used during training.

Through extensive systematic experiments, we show how these traditional
approaches fail to explain why large neural networks generalize well in
practice. Specifically, our experiments establish that state-of-the-art
convolutional networks for image classification trained with stochastic
gradient methods easily fit a random labeling of the training data. This
phenomenon is qualitatively unaffected by explicit regularization, and occurs
even if we replace the true images by completely unstructured random noise. We
corroborate these experimental findings with a theoretical construction
showing that simple depth two neural networks already have perfect finite
sample expressivity as soon as the number of parameters exceeds the
number of data points as it usually does in practice.

We interpret our experimental findings by comparison with traditional models.","chiyuan@mit.edu, bengio@google.com, mrtz@google.com, brecht@berkeley.edu, vinyals@google.com","Chiyuan Zhang, Samy Bengio, Moritz Hardt, Benjamin Recht, Oriol Vinyals","mit.edu, zju.edu.cn, google.com, berkeley.edu",Deep learning,Sy8gdB9xx,zhang|understanding_deep_learning_requires_rethinking_generalization,Understanding deep learning requires rethinking generalization,"Through extensive systematic experiments, we show how the traditional approaches fail to explain why large neural networks generalize well in practice, and why understanding deep learning requires rethinking generalization.",Accept (Oral),https://openreview.net/forum?id=Sy8gdB9xx&noteId=Sy8gdB9xx,https://openreview.net/pdf?id=Sy8gdB9xx
"Neural networks are powerful and flexible models that work well for many difficult learning tasks in image, speech and natural language understanding. Despite their success, neural networks are still hard to design. In this paper, we use a recurrent network to generate the model descriptions of neural networks and train this RNN with reinforcement learning to maximize the expected accuracy of the generated architectures on a validation set. On the CIFAR-10 dataset, our method, starting from scratch, can design a novel network architecture that rivals the best human-invented architecture in terms of test set accuracy. Our CIFAR-10 model achieves a test error rate of 3.65, which is 0.09 percent better and 1.05x faster than the previous state-of-the-art model that used a similar architectural scheme. On the Penn Treebank dataset, our model can compose a novel recurrent cell that outperforms the widely-used LSTM cell, and other state-of-the-art baselines.  Our cell achieves a test set perplexity of 62.4 on the Penn Treebank, which is 3.6 perplexity better than the previous state-of-the-art model. The cell can also be transferred to the character language modeling task on PTB and achieves a state-of-the-art perplexity of 1.214.","barretzoph@google.com, qvl@google.com","Barret Zoph, Quoc Le",google.com,,r1Ue8Hcxg,zoph|neural_architecture_search_with_reinforcement_learning,Neural Architecture Search with Reinforcement Learning,,Accept (Oral),https://openreview.net/forum?id=r1Ue8Hcxg&noteId=r1Ue8Hcxg,https://openreview.net/pdf?id=r1Ue8Hcxg
"Model-free deep reinforcement learning (RL) methods have been successful in a wide variety of simulated domains. However, a major obstacle facing deep RL in the real world is their high sample complexity. Batch policy gradient methods offer stable learning, but at the cost of high variance, which often requires large batches. TD-style methods, such as off-policy actor-critic and Q-learning, are more sample-efficient but biased, and often require costly hyperparameter sweeps to stabilize. In this work, we aim to develop methods that combine the stability of policy gradients with the efficiency of off-policy RL. We present Q-Prop, a policy gradient method that uses a Taylor expansion of the off-policy critic as a control variate. Q-Prop is both sample efficient and stable, and effectively combines the benefits of on-policy and off-policy methods. We analyze the connection between Q-Prop and existing model-free algorithms, and use control variate theory to derive two variants of Q-Prop with conservative and aggressive adaptation. We show that conservative Q-Prop provides substantial gains in sample efficiency over trust region policy optimization (TRPO) with generalized advantage estimation (GAE), and improves stability over deep deterministic policy gradient (DDPG), the state-of-the-art on-policy and off-policy methods, on OpenAI Gym's MuJoCo continuous control environments.","sg717@cam.ac.uk, countzero@google.com, zoubin@eng.cam.ac.uk, ret26@cam.ac.uk, svlevine@eecs.berkeley.edu","Shixiang Gu, Timothy Lillicrap, Zoubin Ghahramani, Richard E. Turner, Sergey Levine","cam.ac.uk, google.com, eecs.berkeley.edu, tuebingen.mpg.de","Deep learning, Reinforcement Learning",SJ3rcZcxl,gu|qprop_sampleefficient_policy_gradient_with_an_offpolicy_critic,Q-Prop: Sample-Efficient Policy Gradient with An Off-Policy Critic,"We propose Q-Prop, a novel policy gradient method with an off-policy critic as control variate, that is more sample efficient than TRPO-GAE and more stable than DDPG, the state-of-the-art on-policy and off-policy methods.",Accept (Oral),https://openreview.net/forum?id=SJ3rcZcxl&noteId=SJ3rcZcxl,https://openreview.net/pdf?id=SJ3rcZcxl
